Dates,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,Category
10/17/2005 10:00,"VEHICLE, RECOVERED, OTHER VEHICLE",Monday,CENTRAL,NONE,LARKIN ST / BEACH ST,-122.4221994,37.80643511,VEHICLE THEFT
8/6/2012 21:00,GRAND THEFT FROM LOCKED AUTO,Monday,INGLESIDE,NONE,300 Block of FRANCONIA ST,-122.4076334,37.74461657,LARCENY/THEFT
3/6/2015 18:05,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, BOOKED",REVERE AV / KEITH ST,-122.3882946,37.73060803,OTHER OFFENSES
7/22/2008 19:32,POSSESSION OF METH-AMPHETAMINE,Tuesday,INGLESIDE,"ARREST, BOOKED",100 Block of TINGLEY ST,-122.4343908,37.72955715,DRUG/NARCOTIC
9/6/2014 5:45,"ROBBERY ON THE STREET, STRONGARM",Saturday,CENTRAL,NONE,900 Block of SUTTER ST,-122.4160109,37.78822667,ROBBERY
4/18/2006 23:11,INJURY TO TELEGRAPH/TELEPHONE LINES,Tuesday,PARK,"ARREST, BOOKED",1300 Block of 7TH AV,-122.4641748,37.76317896,OTHER OFFENSES
4/18/2014 22:00,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,LARCENY/THEFT
9/3/2007 18:40,SUSPICIOUS PERSON,Monday,MISSION,NONE,0 Block of COLLINGWOOD ST,-122.4362469,37.76147658,SUSPICIOUS OCC
4/17/2004 23:30,VIOLATION OF MUNICIPAL POLICE CODE,Saturday,TARAVAL,"ARREST, CITED",800 Block of JOHN MUIR DR,-122.492068,37.71436155,OTHER OFFENSES
4/18/2014 16:00,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Friday,TARAVAL,NONE,3100 Block of ORTEGA ST,-122.4972425,37.7513959,NON-CRIMINAL
7/25/2006 10:00,"CHECKS, MAKE OR PASS FICTITIOUS",Tuesday,INGLESIDE,PROSECUTED BY OUTSIDE AGENCY,200 Block of EDINBURGH ST,-122.4291378,37.72513528,FORGERY/COUNTERFEITING
3/12/2011 7:04,POSSESSION OF BASE/ROCK COCAINE,Saturday,BAYVIEW,"ARREST, BOOKED",KEITH ST / THOMAS AV,-122.3894213,37.72935385,DRUG/NARCOTIC
12/4/2010 4:32,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,Saturday,TARAVAL,"ARREST, BOOKED",1300 Block of 46TH AV,-122.5059233,37.76133993,ROBBERY
2/8/2008 12:00,GRAND THEFT OF PROPERTY,Friday,CENTRAL,NONE,0 Block of DRUMM ST,-122.3965564,37.79411691,LARCENY/THEFT
