Dates,DayOfWeek,PdDistrict,Address,X,Y,Category
2/21/2013 2:35,Thursday,MISSION,TREAT AV / 17TH ST,-122.4135917,37.76382223,PROSTITUTION
2/19/2007 18:31,Monday,SOUTHERN,MCALLISTER ST / JONES ST,-122.4119795,37.78090397,OTHER OFFENSES
4/2/2012 19:11,Monday,PARK,1500 Block of HAIGHT ST,-122.4477611,37.76984649,LIQUOR LAWS
1/1/2006 18:30,Sunday,BAYVIEW,25TH ST / WISCONSIN ST,-122.398454,37.75219486,ROBBERY
2/21/2014 20:10,Friday,INGLESIDE,3200 Block of MISSION ST,-122.4203949,37.74468822,NON-CRIMINAL
4/4/2012 14:21,Wednesday,TENDERLOIN,LEAVENWORTH ST / MCALLISTER ST,-122.4136794,37.78092583,DRUG/NARCOTIC
6/27/2003 22:01,Friday,RICHMOND,400 Block of 47TH AV,-122.5082641,37.77946273,NON-CRIMINAL
11/12/2003 8:45,Wednesday,PARK,700 Block of BUENA VISTA WEST AV,-122.4435395,37.76823838,VEHICLE THEFT
2/24/2010 19:15,Wednesday,MISSION,19TH ST / SHOTWELL ST,-122.4159298,37.760433,LOITERING
5/8/2011 19:48,Sunday,PARK,1000 Block of ASHBURY ST,-122.4467264,37.7632137,DRUG/NARCOTIC
4/5/2013 12:00,Friday,CENTRAL,1400 Block of SACRAMENTO ST,-122.416963,37.79205753,NON-CRIMINAL
6/30/2013 9:08,Sunday,MISSION,500 Block of SOUTH VAN NESS AV,-122.417477,37.76435775,NON-CRIMINAL
5/29/2009 19:04,Friday,TARAVAL,37TH AV / MORAGA ST,-122.4958972,37.75524919,NON-CRIMINAL
3/24/2013 17:00,Sunday,INGLESIDE,ALEMANY BL / MISSION ST,-122.4287843,37.7312679,NON-CRIMINAL
2/24/2006 17:54,Friday,INGLESIDE,RANDALL ST / SAN JOSE AV,-122.4241476,37.73987021,DRUG/NARCOTIC
3/18/2003 15:23,Tuesday,BAYVIEW,SAN BRUNO AV / BACON ST,-122.4035953,37.7276341,VEHICLE THEFT
4/18/2008 23:55,Friday,RICHMOND,7000 Block of GEARY BL,-122.4949105,37.77951575,VANDALISM
6/23/2014 20:42,Monday,SOUTHERN,600 Block of TOWNSEND ST,-122.4027397,37.77088424,WEAPON LAWS
9/27/2004 0:45,Monday,NORTHERN,600 Block of EDDY ST,-122.418382,37.78325838,ASSAULT
10/2/2012 0:01,Tuesday,NORTHERN,1800 Block of GEARY BL,-122.4337013,37.78404739,BURGLARY
2/21/2011 15:33,Monday,TENDERLOIN,100 Block of EDDY ST,-122.4101571,37.78429738,NON-CRIMINAL
5/1/2014 1:00,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071,SECONDARY CODES
1/31/2010 2:40,Sunday,NORTHERN,FELL ST / BUCHANAN ST,-122.4277271,37.77531576,ROBBERY
2/5/2013 0:01,Tuesday,CENTRAL,STOCKTON ST / JACKSON ST,-122.4082547,37.79582231,SUSPICIOUS OCC
3/26/2011 18:29,Saturday,MISSION,0 Block of LANDERS ST,-122.4278572,37.76698711,WARRANTS
5/12/2015 10:15,Tuesday,CENTRAL,JEFFERSON ST / THE EMBARCADERONORTH ST,-122.4125272,37.80862506,LARCENY/THEFT
11/29/2007 21:45,Thursday,SOUTHERN,100 Block of 6TH ST,-122.4074744,37.77991167,LARCENY/THEFT
4/7/2013 11:15,Sunday,NORTHERN,400 Block of MARINA BL,-122.4411037,37.8058165,NON-CRIMINAL
5/11/2015 22:05,Monday,BAYVIEW,600 Block of ARKANSAS ST,-122.3980228,37.75862616,NON-CRIMINAL
3/3/2003 11:30,Monday,SOUTHERN,500 Block of BRYANT ST,-122.3975017,37.78008594,NON-CRIMINAL
1/25/2009 9:30,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071,LARCENY/THEFT
3/19/2012 19:25,Monday,MISSION,2000 Block of MARKET ST,-122.4269556,37.76924706,LARCENY/THEFT
11/27/2009 13:00,Friday,MISSION,800 Block of CHURCH ST,-122.4279409,37.75769489,VEHICLE THEFT
4/7/2007 1:00,Saturday,CENTRAL,1300 Block of GRANT AV,-122.407371,37.79924013,LIQUOR LAWS
8/24/2014 1:31,Sunday,CENTRAL,400 Block of GEARY ST,-122.4106997,37.78698819,OTHER OFFENSES
12/11/2012 23:00,Tuesday,CENTRAL,1800 Block of LEAVENWORTH ST,-122.4171941,37.79800703,LARCENY/THEFT
